section,metric,chain,transform,gaussian_mean,gaussian_std,n_assets,bin_start,bin_end,bin_label,frequency,density,gaussian_pdf
BINS,Onchain Market Cap (USD),BSC,log10,,,,19306977.2888,71968567.3001,19.3M–72.0M,6,0.0,0.0
BINS,Onchain Market Cap (USD),ETH,log10,,,,71968567.3001,268269579.528,72.0M–268.3M,0,0.0,0.0
BINS,Onchain Market Cap (USD),BSC,log10,,,,71968567.3001,268269579.528,72.0M–268.3M,2,0.0,0.0
BINS,Onchain Market Cap (USD),ETH,log10,,,,268269579.528,1000000000.0,268.3M–1000.0M,0,0.0,0.0
BINS,Onchain Market Cap (USD),BSC,log10,,,,268269579.528,1000000000.0,268.3M–1000.0M,0,0.0,0.0
BINS,Whale Concentration – Top 10 Holders,ETH,linear,,,,55.0,58.2143,55.0–58.2%,0,0.0,0.0
BINS,Whale Concentration – Top 10 Holders,BSC,linear,,,,55.0,58.2143,55.0–58.2%,2,0.00234801,9.24e-06
BINS,Whale Concentration – Top 10 Holders,ETH,linear,,,,58.2143,61.4286,58.2–61.4%,0,0.0,0.0
BINS,Whale Concentration – Top 10 Holders,BSC,linear,,,,58.2143,61.4286,58.2–61.4%,1,0.001174,4.01e-05
BINS,Whale Concentration – Top 10 Holders,ETH,linear,,,,61.4286,64.6429,61.4–64.6%,1,0.001174,0.0
BINS,Whale Concentration – Top 10 Holders,BSC,linear,,,,61.4286,64.6429,61.4–64.6%,0,0.0,0.00015148
BINS,Whale Concentration – Top 10 Holders,ETH,linear,,,,64.6429,67.8571,64.6–67.9%,0,0.0,0.0
BINS,Whale Concentration – Top 10 Holders,BSC,linear,,,,64.6429,67.8571,64.6–67.9%,2,0.00234801,0.00049817
BINS,Whale Concentration – Top 10 Holders,ETH,linear,,,,67.8571,71.0714,67.9–71.1%,1,0.001174,1e-08
BINS,Whale Concentration – Top 10 Holders,BSC,linear,,,,67.8571,71.0714,67.9–71.1%,1,0.001174,0.00142608
BINS,Whale Concentration – Top 10 Holders,ETH,linear,,,,71.0714,74.2857,71.1–74.3%,0,0.0,2.4e-07
BINS,Whale Concentration – Top 10 Holders,BSC,linear,,,,71.0714,74.2857,71.1–74.3%,3,0.00352201,0.00355336
BINS,Whale Concentration – Top 10 Holders,ETH,linear,,,,74.2857,77.5,74.3–77.5%,3,0.00352201,4.85e-06
BINS,Whale Concentration – Top 10 Holders,BSC,linear,,,,74.2857,77.5,74.3–77.5%,6,0.00704403,0.00770784
BINS,Whale Concentration – Top 10 Holders,ETH,linear,,,,77.5,80.7143,77.5–80.7%,3,0.00352201,6.498e-05
BINS,Whale Concentration – Top 10 Holders,BSC,linear,,,,77.5,80.7143,77.5–80.7%,18,0.02113208,0.01455345
BINS,Whale Concentration – Top 10 Holders,ETH,linear,,,,80.7143,83.9286,80.7–83.9%,1,0.001174,0.00058127
BINS,Whale Concentration – Top 10 Holders,BSC,linear,,,,80.7143,83.9286,80.7–83.9%,16,0.01878407,0.02391971
BINS,Whale Concentration – Top 10 Holders,ETH,linear,,,,83.9286,87.1429,83.9–87.1%,3,0.00352201,0.00347591
BINS,Whale Concentration – Top 10 Holders,BSC,linear,,,,83.9286,87.1429,83.9–87.1%,17,0.01995807,0.0342221
BINS,Whale Concentration – Top 10 Holders,ETH,linear,,,,87.1429,90.3571,87.1–90.4%,5,0.00587002,0.013884
BINS,Whale Concentration – Top 10 Holders,BSC,linear,,,,87.1429,90.3571,87.1–90.4%,17,0.01995807,0.04262014
BINS,Whale Concentration – Top 10 Holders,ETH,linear,,,,90.3571,93.5714,90.4–93.6%,7,0.00821803,0.03705623
BINS,Whale Concentration – Top 10 Holders,BSC,linear,,,,90.3571,93.5714,90.4–93.6%,33,0.03874214,0.04620434
BINS,Whale Concentration – Top 10 Holders,ETH,linear,,,,93.5714,96.7857,93.6–96.8%,11,0.01291405,0.06608412
BINS,Whale Concentration – Top 10 Holders,BSC,linear,,,,93.5714,96.7857,93.6–96.8%,39,0.04578616,0.04360165
BINS,Whale Concentration – Top 10 Holders,ETH,linear,,,,96.7857,100.0,96.8–100.0%,230,0.27002096,0.07874513
BINS,Whale Concentration – Top 10 Holders,BSC,linear,,,,96.7857,100.0,96.8–100.0%,110,0.12914046,0.03581675
